RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1,James Harden,HOU,72,35.4,9,20.1,0.449,3.7,10,0.367,8.7,10.1,0.858,0.6,4.8,5.4,8.8,1.8,0.7,4.4,30.4,30.1
2,Anthony Davis,NOP,75,36.4,10.4,19.5,0.534,0.7,2.2,0.34,6.6,8,0.828,2.5,8.6,11.1,2.3,1.5,2.6,2.2,28.1,33
3,LeBron James,CLE,82,36.9,10.5,19.3,0.542,1.8,5,0.367,4.7,6.5,0.731,1.2,7.5,8.6,9.1,1.4,0.9,4.2,27.5,32.7
4,Damian Lillard,POR,73,36.6,8.5,19.4,0.439,3.1,8.6,0.361,6.8,7.4,0.916,0.8,3.6,4.5,6.6,1.1,0.4,2.8,26.9,25
5,Giannis Antetokounmpo,MIL,75,36.7,9.9,18.7,0.529,0.6,1.9,0.307,6.5,8.5,0.76,2.1,8,10,4.8,1.5,1.4,3,26.9,30.7
6,Kevin Durant,GSW,68,34.2,9.3,18,0.516,2.5,6.1,0.419,5.3,5.9,0.889,0.5,6.4,6.8,5.4,0.7,1.8,3,26.4,28.6
7,Russell Westbrook,OKC,80,36.4,9.5,21.1,0.449,1.2,4.1,0.298,5.2,7.1,0.737,1.9,8.2,10.1,10.3,1.8,0.3,4.8,25.4,29.5
8,Kyrie Irving,BOS,60,32.2,8.9,18.1,0.491,2.8,6.8,0.408,3.9,4.4,0.889,0.6,3.2,3.8,5.1,1.1,0.3,2.3,24.4,22.7
9,LaMarcus Aldridge,SAS,75,33.5,9.2,18,0.51,0.4,1.2,0.293,4.5,5.3,0.837,3.3,5.2,8.5,2,0.6,1.2,1.5,23.1,24.3
9,Victor Oladipo,IND,75,34,8.5,17.9,0.477,2.1,5.8,0.371,3.9,4.9,0.799,0.6,4.6,5.2,4.3,2.4,0.8,2.9,23.1,22.5
11,DeMar DeRozan,TOR,80,33.9,8.1,17.7,0.456,1.1,3.6,0.31,5.8,7,0.825,0.7,3.2,3.9,5.2,1.1,0.3,2.2,23,20.5
