"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"58","Rodney Hood","UTA","59","1593","272","666","0.408","114","307","0.371","90","115","0.783","16","186","202","96","38","11","65","132","748","611","1.48","0.59"
"59","Austin Rivers","LAC","74","2054","323","731","0.442","111","299","0.371","132","191","0.691","20","141","161","204","48","10","115","187","889","730","1.77","0.42"
"60","Will Barton","DEN","60","1705","295","666","0.443","87","235","0.37","143","190","0.753","58","201","259","206","48","28","97","110","820","846","2.12","0.5"
"61","Damian Lillard","POR","75","2693","661","1488","0.444","214","579","0.37","488","545","0.895","46","322","368","440","68","20","197","152","2024","1839","2.23","0.35"
"62","Nik Stauskas","PHI","80","2188","251","634","0.396","132","359","0.368","122","150","0.813","21","205","226","188","45","32","128","144","756","708","1.47","0.35"
"63","Bojan Bogdanovic","WAS","81","2083","376","845","0.445","144","392","0.367","217","243","0.893","37","240","277","111","34","7","131","146","1113","916","0.85","0.26"
"64","Karl-Anthony Towns","MIN","82","3030","802","1480","0.542","101","275","0.367","356","428","0.832","296","711","1007","220","56","103","212","241","2061","2485","1.04","0.26"
"65","Jimmy Butler","CHI","76","2809","570","1252","0.455","91","248","0.367","585","676","0.865","129","341","470","417","143","32","159","112","1816","1946","2.62","0.9"
"66","Lou Williams","HOU","81","1993","428","998","0.429","163","446","0.365","402","457","0.88","26","176","202","239","80","20","160","92","1421","1177","1.49","0.5"
"67","Sergio Rodriguez","PHI","68","1517","210","536","0.392","92","252","0.365","18","27","0.667","21","136","157","344","49","4","128","95","530","621","2.69","0.38"
"68","Wesley Matthews","DAL","73","2495","333","847","0.393","174","479","0.363","146","179","0.816","18","241","259","210","77","15","102","161","986","898","2.06","0.76"
"69","Deron Williams","CLE","64","1657","263","600","0.438","85","234","0.363","90","109","0.826","14","133","147","360","31","8","138","138","701","753","2.61","0.23"
"70","Terrence Ross","ORL","78","1955","326","746","0.437","142","391","0.363","64","77","0.831","18","188","206","88","87","33","68","143","858","771","1.29","1.28"
"71","Devin Booker","PHX","78","2731","606","1431","0.423","147","405","0.363","367","441","0.832","46","203","249","268","72","21","241","242","1726","1196","1.11","0.3"
"72","LeBron James","CLE","74","2795","736","1344","0.548","124","342","0.363","358","531","0.674","97","542","639","646","92","44","303","134","1954","2291","2.13","0.3"
"73","DeMarcus Cousins","NOP","72","2465","647","1432","0.452","131","363","0.361","517","670","0.772","152","642","794","332","100","93","269","278","1942","2054","1.23","0.37"
"74","Victor Oladipo","OKC","67","2223","412","932","0.442","127","352","0.361","116","154","0.753","39","252","291","176","78","21","119","155","1067","956","1.48","0.66"
"75","Marco Belinelli","CHA","74","1778","264","615","0.429","102","283","0.36","150","168","0.893","14","164","178","147","44","9","70","90","780","719","2.1","0.63"
"76","Jamal Crawford","LAC","82","2157","359","870","0.413","116","322","0.36","174","203","0.857","17","112","129","214","61","14","134","115","1008","752","1.6","0.46"
"77","Iman Shumpert","CLE","76","1937","201","489","0.411","94","261","0.36","71","90","0.789","39","179","218","109","62","27","78","150","567","598","1.4","0.8"
"78","Carmelo Anthony","NYK","74","2538","602","1389","0.433","151","421","0.359","304","365","0.833","62","376","438","213","60","34","153","198","1659","1403","1.39","0.39"
"79","Tim Hardaway Jr.","ATL","79","2154","415","912","0.455","149","417","0.357","164","214","0.766","35","189","224","182","55","15","106","103","1143","966","1.72","0.52"
"80","Jeff Teague","IND","82","2657","402","909","0.442","90","252","0.357","360","415","0.867","33","297","330","639","100","32","216","165","1254","1577","2.96","0.46"
